time,gFx,gFy,gFz,TgF
0.002077291,0.0043,-0.0029,1.0264,1.026
0.002703385,0.0043,-0.0032,1.0272,1.027
0.003136354,0.0046,-0.0032,1.0277,1.028
0.003573802,0.0049,-0.0032,1.0277,1.028
0.003952604,0.0049,-0.0032,1.0272,1.027
0.004328073,0.0049,-0.0032,1.0267,1.027
0.008569062,0.0046,-0.0029,1.0262,1.026
0.009025677,0.0043,-0.0024,1.0257,1.026
0.009817396,0.0043,-0.0019,1.0257,1.026
0.012577187,0.0046,-0.0017,1.0260,1.026
0.01784651,0.0049,-0.0012,1.0264,1.026
0.018068541,0.0046,-0.0009,1.0264,1.026
0.01825276,0.0043,-0.0007,1.0264,1.026
0.020888541,0.0049,-0.0007,1.0264,1.026
0.021667291,0.0058,-0.0009,1.0267,1.027
0.024027604,0.0063,-0.0012,1.0270,1.027
0.026556562,0.0066,-0.0014,1.0267,1.027
0.027889114,0.0068,-0.0017,1.0267,1.027
0.030199948,0.0076,-0.0019,1.0262,1.026
0.032456041,0.0078,-0.0022,1.0262,1.026
0.035007552,0.0078,-0.0024,1.0267,1.027
0.03586651,0.0073,-0.0027,1.0270,1.027
0.038003281,0.0068,-0.0029,1.0267,1.027
0.040569375,0.0061,-0.0029,1.0262,1.026
0.043113489,0.0056,-0.0032,1.0262,1.026
0.0454125,0.0053,-0.0034,1.0264,1.026
0.048080208,0.0051,-0.0034,1.0267,1.027
0.049318489,0.0051,-0.0037,1.0264,1.026
0.051706823,0.0051,-0.0037,1.0264,1.026
0.053778281,0.0051,-0.0037,1.0264,1.026
0.055686927,0.0053,-0.0034,1.0264,1.026
0.057491458,0.0053,-0.0032,1.0262,1.026
0.059856145,0.0053,-0.0029,1.0262,1.026
0.06156625,0.0051,-0.0029,1.0262,1.026
0.064990364,0.0046,-0.0029,1.0262,1.026
0.065810052,0.0041,-0.0032,1.0262,1.026
0.068166458,0.0034,-0.0034,1.0264,1.026
0.070436666,0.0031,-0.0037,1.0267,1.027
0.07276776,0.0028,-0.0039,1.0270,1.027
0.07602651,0.0026,-0.0042,1.0270,1.027
0.076597916,0.0021,-0.0042,1.0267,1.027
0.078775468,0.0021,-0.0039,1.0270,1.027
0.080180208,0.0021,-0.0037,1.0272,1.027
0.082626406,0.0024,-0.0034,1.0272,1.027
0.084089791,0.0024,-0.0029,1.0272,1.027
0.087421979,0.0021,-0.0027,1.0272,1.027
0.088286823,0.0021,-0.0024,1.0274,1.027
0.091005677,0.0026,-0.0022,1.0279,1.028
0.092527343,0.0036,-0.0019,1.0285,1.028
0.095076302,0.0046,-0.0019,1.0285,1.028
0.098085,0.0053,-0.0017,1.0277,1.028
0.099645104,0.0061,-0.0017,1.0272,1.027
0.101499791,0.0071,-0.0014,1.0270,1.027
0.103239739,0.0078,-0.0014,1.0270,1.027
0.105676823,0.0086,-0.0014,1.0267,1.027
0.108048593,0.0088,-0.0014,1.0267,1.027
0.110370989,0.0088,-0.0017,1.0270,1.027
0.112518489,0.0083,-0.0017,1.0270,1.027
0.114723541,0.0071,-0.0019,1.0270,1.027
0.116307968,0.0058,-0.0022,1.0267,1.027
0.118437083,0.0053,-0.0027,1.0270,1.027
0.120686041,0.0046,-0.0032,1.0272,1.027
0.123103333,0.0041,-0.0034,1.0270,1.027
0.125422916,0.0034,-0.0037,1.0264,1.026
0.127056979,0.0031,-0.0039,1.0262,1.026
0.129303645,0.0031,-0.0039,1.0264,1.026
0.134251666,0.0036,-0.0042,1.0270,1.027
0.13491151,0.0043,-0.0042,1.0272,1.027
0.135641823,0.0049,-0.0042,1.0272,1.027
0.137314635,0.0053,-0.0039,1.0272,1.027
0.139357187,0.0058,-0.0037,1.0274,1.027
0.141855729,0.0063,-0.0034,1.0277,1.028
0.14579625,0.0063,-0.0032,1.0277,1.028
0.146152291,0.0066,-0.0029,1.0274,1.027
0.146845989,0.0063,-0.0027,1.0277,1.028
0.149541145,0.0063,-0.0022,1.0279,1.028
0.152023854,0.0058,-0.0019,1.0282,1.028
0.154491823,0.0056,-0.0014,1.0282,1.028
0.156722968,0.0053,-0.0012,1.0277,1.028
0.158847656,0.0056,-0.0009,1.0277,1.028
0.160150781,0.0053,-0.0009,1.0279,1.028
0.16279802,0.0046,-0.0009,1.0279,1.028
0.165844114,0.0036,-0.0009,1.0274,1.027
0.167306979,0.0028,-0.0009,1.0267,1.027
0.169399843,0.0024,-0.0012,1.0264,1.026
0.173885989,0.0021,-0.0014,1.0262,1.026
0.174196614,0.0013,-0.0014,1.0262,1.026
0.174898906,0.0004,-0.0017,1.0260,1.026
0.177097656,-0.0004,-0.0019,1.0255,1.025
0.179334531,-0.0006,-0.0024,1.0249,1.025
0.181520364,-0.0006,-0.0029,1.0255,1.025
0.183852916,-0.0006,-0.0032,1.0262,1.026
0.186211302,-0.0004,-0.0034,1.0270,1.027
0.186917448,0.0004,-0.0039,1.0272,1.027
0.189531041,0.0016,-0.0042,1.0277,1.028
0.191853854,0.0028,-0.0044,1.0282,1.028
0.193979062,0.0038,-0.0044,1.0285,1.028
0.195230104,0.0046,-0.0044,1.0282,1.028
0.199590104,0.0056,-0.0042,1.0277,1.028
0.200276614,0.0068,-0.0042,1.0277,1.028
0.201619791,0.0078,-0.0042,1.0279,1.028
0.204181458,0.0083,-0.0039,1.0282,1.028
0.206558177,0.0083,-0.0039,1.0277,1.028
0.208843073,0.0083,-0.0039,1.0272,1.027
